"intervention","asset","include","asset_class","asset_unit","unit_type","asset_parameters","user_entered_parameters","tool_extracted_parameters","tool_calculated_parameters"
"New high speed route","Bored Tunnel","TRUE","CV-US-TN-BR","m","length","length, diameter, number",,"length","number"
"New high speed route","Box Structure","TRUE","CV-US-BS","m","length","length",,"length",
"New high speed route","Building","TRUE","GR-BL","km2","area","area, number",,,"number"
"New high speed route","Car Park","TRUE","GR-CP","km2","area","area, number",,,"number"
"New high speed route","Carriageway","TRUE","CV-HW-CW","m","length","length",,"length",
"New high speed route","Circulation Feature","TRUE","CV-HW-CF","number","number","number",,"number",
"New high speed route","Culvert","TRUE","CV-BR-CV","number","number","number",,"number",
"New high speed route","Cut & Cover Tunnel","TRUE","CV-US-TN-CC","m","length","length, diameter, number",,"length","number"
"New high speed route","Cutting","TRUE","CV-CE-CT","m","length","length, volume",,"length","volume"
"New high speed route","Embankment","TRUE","CV-CE-EM","m","length","length, volume",,"length","volume"
"New high speed route","Emergency Access Point","TRUE","OP-AP-EA","number","number","number",,,"number"
"New high speed route","Green Bridge","TRUE","CV-BR-GB","number","number","number, span",,,"number"
"New high speed route","Main River","TRUE","WT-RV","m","length","length",,"length",
"New high speed route","Maintenance Access Point","TRUE","OP-AP-MA","number","number","number",,,"number"
"New high speed route","Mined Tunnel","TRUE","Mined Tunnel","m","length","length, diameter, number",,"length","number"
"New high speed route","Mitigation Earthworks","TRUE","CV-CE-ME","m","length","length, volume",,"length","volume"
"New high speed route","Overbridge","TRUE","CV-BR-OB","number","number","number, span",,,"number"
"New high speed route","Rail Overbridge","TRUE","CV-BR-RB","number","number","number, span",,,"number"
"New high speed route","Retained Cutting","TRUE","CV-CE-RC","m","length","length, volume",,"length","volume"
"New high speed route","Retained Embankment","TRUE","CV-CE-RE","m","length","length, volume",,"length","volume"
"New high speed route","Retaining Wall","TRUE","CV-CE-RW","m","length","length",,"length",
"New high speed route","Shaft","TRUE","CV-US-SH","number","number","number, depth",,"depth","number"
"New high speed route","System railheads","TRUE","CN-SC-SR","number","number","number",,,
"New high speed route","Tunnel Portal","TRUE","CV-US-TN-PR","number","number","number",,,"number"
"New high speed route","Underbridge","TRUE","CV-BR-UB","number","number","number, span",,,"number"
"New high speed route","Underpass","TRUE","CV-BR-UP","number","number","number, span",,,"number"
"New high speed route","Viaduct","TRUE","CV-BR-VD","m","length","length, width",,"length",
"New high speed route","Track (double)","TRUE",,"m","length","length, width",,"length",
"New high speed route","OLE","TRUE",,"m","length","length, number",,"length","number"
"New high speed route","Point and crossings","FALSE",,"number","number","number","number",,
"Station - at grade","Building","TRUE","GR-BL","km2","area","area, number","number",,
"Station - at grade","Car Park","TRUE","GR-CP","km2","area","area, number","number",,
"Station - at grade","Carriageway","TRUE","CV-HW-CW","m","length","length",,"length",
"Station - at grade","Circulation Feature","TRUE","CV-HW-CF","number","number","number",,"number",
"Station - at grade","Culvert","TRUE","CV-BR-CV","number","number","number",,"number",
"Station - underground","Building","TRUE","GR-BL","km2","area","area, number","number",,
"Station - elevated","Building","TRUE","GR-BL","km2","area","area, number","number",,
"Track","Bored Tunnel","TRUE","CV-US-TN-BR","m","length","length, diameter, number",,"length","number"
"Track","Box Structure","TRUE","CV-US-BS","m","length","length",,"length",
"Track","Culvert","TRUE","CV-BR-CV","number","number","number",,"number",
"Track","Cut & Cover Tunnel","TRUE","CV-US-TN-CC","m","length","length, diameter, number",,"length","number"
"Track","Cutting","TRUE","CV-CE-CT","m","length","length, volume",,"length","volume"
"Track","Embankment","TRUE","CV-CE-EM","m","length","length, volume",,"length","volume"
"Track","Mined Tunnel","TRUE","Mined Tunnel","m","length","length, diameter, number",,"length","number"
"Track","Mitigation Earthworks","TRUE","CV-CE-ME","m","length","length, volume",,"length","volume"
"Track","Tunnel Portal","TRUE","CV-US-TN-PR","number","number","number",,,"number"
